,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
Maharashtra,Cereals,Wheat,20-09-2021,1859.00,Metric Tonnes,2387.47,Rs./Quintal
Maharashtra,Cereals,Wheat,21-09-2021,2217.00,Metric Tonnes,2423.33,Rs./Quintal
Maharashtra,Cereals,Wheat,22-09-2021,1462.00,Metric Tonnes,2116.98,Rs./Quintal
Maharashtra,Cereals,Wheat,23-09-2021,1895.00,Metric Tonnes,2268.45,Rs./Quintal
Maharashtra,Cereals,Wheat,24-09-2021,1501.00,Metric Tonnes,2308.80,Rs./Quintal
Maharashtra,Cereals,Wheat,25-09-2021,626.00,Metric Tonnes,2071.98,Rs./Quintal
Maharashtra,Cereals,Wheat,26-09-2021,224.00,Metric Tonnes,1789.56,Rs./Quintal
Maharashtra,Cereals,Wheat,27-09-2021,1505.00,Metric Tonnes,2762.76,Rs./Quintal
Maharashtra,Cereals,Wheat,28-09-2021,2020.00,Metric Tonnes,2755.68,Rs./Quintal
Maharashtra,Cereals,Wheat,29-09-2021,1384.00,Metric Tonnes,1896.31,Rs./Quintal
Maharashtra,Cereals,Wheat,30-09-2021,2478.00,Metric Tonnes,2547.74,Rs./Quintal
Maharashtra,Cereals,Wheat,01-10-2021,2896.00,Metric Tonnes,2795.06,Rs./Quintal
Maharashtra,Cereals,Wheat,02-10-2021,617.00,Metric Tonnes,3346.32,Rs./Quintal
Maharashtra,Cereals,Wheat,03-10-2021,207.00,Metric Tonnes,1771.66,Rs./Quintal
Maharashtra,Cereals,Wheat,04-10-2021,2643.00,Metric Tonnes,2155.77,Rs./Quintal
Maharashtra,Cereals,Wheat,05-10-2021,2201.00,Metric Tonnes,2427.68,Rs./Quintal
Maharashtra,Cereals,Wheat,06-10-2021,1089.00,Metric Tonnes,2907.71,Rs./Quintal
Maharashtra,Cereals,Wheat,07-10-2021,1830.00,Metric Tonnes,2285.58,Rs./Quintal
Maharashtra,Cereals,Wheat,08-10-2021,1939.00,Metric Tonnes,2441.93,Rs./Quintal
Maharashtra,Cereals,Wheat,09-10-2021,1479.00,Metric Tonnes,2522.87,Rs./Quintal
Maharashtra,Cereals,Wheat,10-10-2021,151.00,Metric Tonnes,1809.89,Rs./Quintal
Maharashtra,Cereals,Wheat,11-10-2021,332.00,Metric Tonnes,2257.35,Rs./Quintal
Maharashtra,Cereals,Wheat,12-10-2021,2637.00,Metric Tonnes,2699.51,Rs./Quintal
Maharashtra,Cereals,Wheat,13-10-2021,1839.00,Metric Tonnes,2362.13,Rs./Quintal
Maharashtra,Cereals,Wheat,14-10-2021,1511.00,Metric Tonnes,2388.02,Rs./Quintal
Maharashtra,Cereals,Wheat,15-10-2021,279.00,Metric Tonnes,2041.35,Rs./Quintal
Maharashtra,Cereals,Wheat,16-10-2021,1277.00,Metric Tonnes,2111.33,Rs./Quintal
Maharashtra,Cereals,Wheat,17-10-2021,124.00,Metric Tonnes,1811.43,Rs./Quintal
Maharashtra,Cereals,Wheat,18-10-2021,1990.00,Metric Tonnes,2272.86,Rs./Quintal
Maharashtra,Cereals,Wheat,19-10-2021,618.00,Metric Tonnes,3231.65,Rs./Quintal
Maharashtra,Cereals,Wheat,20-10-2021,1894.00,Metric Tonnes,2427.21,Rs./Quintal
Maharashtra,Cereals,Wheat,21-10-2021,1592.00,Metric Tonnes,2333.48,Rs./Quintal
Maharashtra,Cereals,Wheat,22-10-2021,1651.00,Metric Tonnes,2499.25,Rs./Quintal
Maharashtra,Cereals,Wheat,23-10-2021,1671.00,Metric Tonnes,2581.83,Rs./Quintal
Maharashtra,Cereals,Wheat,24-10-2021,195.00,Metric Tonnes,1811.99,Rs./Quintal
Maharashtra,Cereals,Wheat,25-10-2021,1748.00,Metric Tonnes,2367.56,Rs./Quintal
Maharashtra,Cereals,Wheat,26-10-2021,1609.00,Metric Tonnes,2580.34,Rs./Quintal
Maharashtra,Cereals,Wheat,27-10-2021,1529.00,Metric Tonnes,2506.06,Rs./Quintal
Maharashtra,Cereals,Wheat,28-10-2021,1809.00,Metric Tonnes,2579.97,Rs./Quintal
Maharashtra,Cereals,Wheat,29-10-2021,1262.00,Metric Tonnes,2520.78,Rs./Quintal
Maharashtra,Cereals,Wheat,30-10-2021,1656.00,Metric Tonnes,2642.28,Rs./Quintal
Maharashtra,Cereals,Wheat,31-10-2021,165.00,Metric Tonnes,1845.09,Rs./Quintal
Maharashtra,Cereals,Wheat,01-11-2021,1625.00,Metric Tonnes,2794.22,Rs./Quintal
Maharashtra,Cereals,Wheat,02-11-2021,1141.00,Metric Tonnes,3099.88,Rs./Quintal
Maharashtra,Cereals,Wheat,03-11-2021,719.00,Metric Tonnes,3090.45,Rs./Quintal
Maharashtra,Cereals,Wheat,04-11-2021,23.00,Metric Tonnes,1795.65,Rs./Quintal
Maharashtra,Cereals,Wheat,05-11-2021,904.00,Metric Tonnes,3084.85,Rs./Quintal
Maharashtra,Cereals,Wheat,06-11-2021,90.00,Metric Tonnes,2287.07,Rs./Quintal
Maharashtra,Cereals,Wheat,07-11-2021,72.00,Metric Tonnes,1828.13,Rs./Quintal
Maharashtra,Cereals,Wheat,08-11-2021,1414.00,Metric Tonnes,2473.43,Rs./Quintal
Maharashtra,Cereals,Wheat,09-11-2021,1502.00,Metric Tonnes,2220.64,Rs./Quintal
Maharashtra,Cereals,Wheat,10-11-2021,1367.00,Metric Tonnes,2489.18,Rs./Quintal
Maharashtra,Cereals,Wheat,11-11-2021,1522.00,Metric Tonnes,2354.47,Rs./Quintal
Maharashtra,Cereals,Wheat,12-11-2021,1555.00,Metric Tonnes,2664.37,Rs./Quintal
