,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
Maharashtra,Cereals,Rice,04-07-2021,5.00,Metric Tonnes,3160.00,Rs./Quintal
Maharashtra,Cereals,Rice,05-07-2021,169.00,Metric Tonnes,3646.75,Rs./Quintal
Maharashtra,Cereals,Rice,06-07-2021,300.00,Metric Tonnes,3573.28,Rs./Quintal
Maharashtra,Cereals,Rice,07-07-2021,231.00,Metric Tonnes,3803.59,Rs./Quintal
Maharashtra,Cereals,Rice,08-07-2021,265.00,Metric Tonnes,3672.17,Rs./Quintal
Maharashtra,Cereals,Rice,09-07-2021,243.00,Metric Tonnes,3582.26,Rs./Quintal
Maharashtra,Cereals,Rice,10-07-2021,202.00,Metric Tonnes,3684.67,Rs./Quintal
Maharashtra,Cereals,Rice,11-07-2021,2.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Cereals,Rice,12-07-2021,343.00,Metric Tonnes,3621.43,Rs./Quintal
Maharashtra,Cereals,Rice,13-07-2021,182.00,Metric Tonnes,3807.99,Rs./Quintal
Maharashtra,Cereals,Rice,14-07-2021,213.00,Metric Tonnes,3951.60,Rs./Quintal
Maharashtra,Cereals,Rice,15-07-2021,247.00,Metric Tonnes,3665.54,Rs./Quintal
Maharashtra,Cereals,Rice,16-07-2021,77.00,Metric Tonnes,3502.51,Rs./Quintal
Maharashtra,Cereals,Rice,17-07-2021,241.00,Metric Tonnes,3779.17,Rs./Quintal
Maharashtra,Cereals,Rice,18-07-2021,44.00,Metric Tonnes,3943.41,Rs./Quintal
Maharashtra,Cereals,Rice,19-07-2021,221.00,Metric Tonnes,3695.05,Rs./Quintal
Maharashtra,Cereals,Rice,20-07-2021,71.00,Metric Tonnes,3776.93,Rs./Quintal
Maharashtra,Cereals,Rice,21-07-2021,61.00,Metric Tonnes,3627.00,Rs./Quintal
Maharashtra,Cereals,Rice,22-07-2021,170.00,Metric Tonnes,3441.44,Rs./Quintal
Maharashtra,Cereals,Rice,23-07-2021,162.00,Metric Tonnes,3717.70,Rs./Quintal
Maharashtra,Cereals,Rice,24-07-2021,145.00,Metric Tonnes,3889.31,Rs./Quintal
Maharashtra,Cereals,Rice,25-07-2021,7.00,Metric Tonnes,4200.00,Rs./Quintal
Maharashtra,Cereals,Rice,26-07-2021,217.00,Metric Tonnes,3658.61,Rs./Quintal
Maharashtra,Cereals,Rice,27-07-2021,211.00,Metric Tonnes,3655.17,Rs./Quintal
Maharashtra,Cereals,Rice,28-07-2021,184.00,Metric Tonnes,3627.74,Rs./Quintal
